"Population (5 years and older) by Severity, Locality, Education, Geographic_Area, Sex and Age"

"Severity","Locality","Education","Geographic_Area","Sex","5-9","10-14","15-17","18-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
"No difficulty","Urban","JSS/JHS","Savelugu Municipal","Male",0,722,1422,401,424,269,270,164,105,68,20,11,0,0,0,0,0,0,0,0,0
"No difficulty","Urban","JSS/JHS","Savelugu Municipal","Female",0,656,1169,356,430,311,179,63,39,14,3,4,0,0,0,0,0,0,0,0,0
"No difficulty","Urban","Middle","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,6,18,18,14,10,14,3,2,1,0,0,0
"No difficulty","Urban","Middle","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,2,3,8,5,1,1,0,1,0,0,0,0
"No difficulty","Urban","SSS/SHS","Savelugu Municipal","Male",0,10,520,864,1874,570,374,226,162,104,15,0,0,0,0,0,0,0,0,0,0
"No difficulty","Urban","SSS/SHS","Savelugu Municipal","Female",0,4,468,678,1361,494,190,70,35,12,2,0,0,0,0,0,0,0,0,0,0
"No difficulty","Urban","Secondary","Savelugu Municipal","Male",0,3,0,3,15,10,20,14,18,14,38,19,16,13,6,3,2,1,0,0,0
"No difficulty","Urban","Secondary","Savelugu Municipal","Female",0,0,0,3,15,9,10,2,6,8,5,4,0,1,1,0,2,0,0,0,0
"No difficulty","Urban","Voc/technical/commercial","Savelugu Municipal","Male",0,0,0,3,4,67,18,5,8,5,1,1,2,2,0,0,0,0,0,0,0
"No difficulty","Urban","Voc/technical/commercial","Savelugu Municipal","Female",0,0,0,0,4,33,10,6,0,0,1,0,1,0,0,0,0,0,0,0,0
"No difficulty","Urban","Post middle/secondary Certificate","Savelugu Municipal","Male",0,0,0,1,13,14,17,8,4,3,1,6,3,4,2,1,0,0,0,0,0
"No difficulty","Urban","Post middle/secondary Certificate","Savelugu Municipal","Female",0,0,0,4,6,8,16,1,3,2,0,1,3,0,0,0,0,0,0,0,0
"No difficulty","Urban","Post middle/secondary Diploma","Savelugu Municipal","Male",0,0,0,0,27,89,75,37,19,8,5,5,4,4,1,1,0,0,0,0,0
"No difficulty","Urban","Post middle/secondary Diploma","Savelugu Municipal","Female",0,0,0,16,34,39,29,9,3,2,3,5,1,0,0,2,0,0,0,0,0
"No difficulty","Urban","Tertiary/HND","Savelugu Municipal","Male",0,0,2,15,193,121,108,83,36,16,17,3,1,3,1,1,0,0,0,0,0
"No difficulty","Urban","Tertiary/HND","Savelugu Municipal","Female",0,0,0,26,119,52,41,17,5,2,1,0,1,0,0,0,0,0,0,0,0
"No difficulty","Urban","Tertiary - Bachelor's Degree","Savelugu Municipal","Male",0,0,1,70,66,143,216,112,108,43,23,12,14,9,2,1,0,0,0,0,0
"No difficulty","Urban","Tertiary - Bachelor's Degree","Savelugu Municipal","Female",0,0,0,7,39,52,63,26,5,4,5,2,0,0,0,0,0,0,0,0,0
"No difficulty","Urban","Tertiary - Post graduate Certificate/Diploma","Savelugu Municipal","Male",0,0,0,0,274,231,122,39,23,10,7,7,8,1,2,0,0,0,0,0,0
"No difficulty","Urban","Tertiary - Post graduate Certificate/Diploma","Savelugu Municipal","Female",0,0,0,0,95,122,50,15,4,3,1,3,1,1,0,0,0,0,0,0,0
